element wavelength
DIB4727  4726.8300
DIB4763  4762.6100
DIB4963  4963.88
DIB5361  5361.13
DIB5419  5418.87
DIB5488  5487.69
DIB5508  5508.12
DIB5525  5525.48
DIB5706  5705.92
DIB5766  5766.10
DIB5780  5780.4800
DIB5797  5797.0600
DIB5812  5811.91
DIB5828  5828.47
DIB5849  5849.81
DIB6011  6010.7500
DIB6113  6113.18
DIB6195  6195.98
DIB6203  6203.14
DIB6204  6204.4900
DIB6215  6215.43
DIB6270  6269.8500
DIB6284  6283.8400
DIB6308  6308.80
DIB6317  6317.86
DIB6379  6379.32
DIB6410  6410.35
DIB6413  6413.17
DIB6445  6445.28
DIB6449  6449.22
DIB6494  6494.05
DIB6590  6590.42
DIB6614  6613.6200
DIB6639  6639.42
DIB6661  6660.71
DIB6768  6767.69
DIB6993  6993.13
DIB6699  6699.36
DIB6844  6843.64
DIB7224  7224.03
DIB7483  7483.32	
DIB7562  7562.2500
DIB7833  7833.01
DIB8026  8026.2500
DIB8620  8620.0000
DIB8764  8763.83
